Country,Total Population (2022),Population Aged < 20 (%),Population Aged > 60 (%),Deaths Due to NCD,World Bank Income Group,GDP per capita (INT$),"Physical Inactivity, Adolescents Aged 11-17 (%), Male","Physical Inactivity, Adolescents Aged 11-17 (%), Female","Physical Inactivity, Adults Aged 18+ (%), Male","Physical Inactivity, Adults Aged 18+ (%), Female","Physical Inactivity, Adults Aged 70+ (%), Male","Physical Inactivity, Adults Aged 70+ (%), Female"
Afghanistan,"41,129,000",55.00%,4.00%,50.00%,LOW,"$2,078.00",89.00%,88.00%,N/A,N/A,N/A,N/A
Albania,"2,843,000",22.00%,23.00%,94.00%,UPPER MIDDLE,"$13,632.00",76.00%,86.00%,N/A,N/A,N/A,N/A
Alegeria,"44,904,000",38.00%,10.00%,79.00%,UPPER MIDDLE,"$11,323.00",76.00%,91.00%,27.00%,40.00%,40.00%,56.00%
Andorra,"80,000",18.00%,22.00%,N/A,HIGH,N/A,N/A,N/A,37.00%,40.00%,53.00%,57.00%
Angola,"35,589,000",56.00%,4.00%,32.00%,LOWER MIDDLE,"$6,478.00",N/A,N/A,N/A,N/A,N/A,N/A
Antigua and Barbuda,"93,800",25.00%,16.00%,85.00%,HIGH,"$18,240.00",74.00%,85.00%,N/A,N/A,N/A,N/A
Argentina,"45,511,000",31.00%,16.00%,77.00%,UPPER MIDDLE,"$20,769.00",80.00%,90.00%,38.00%,45.00%,53.00%,62.00%
Armenia,"2,781,000",26.00%,20.00%,89.00%,UPPER MIDDLE,"$13,311.00",73.00%,83.00%,23.00%,22.00%,36.00%,35.00%
Austrailia,"26,178,000",24.00%,23.00%,89.00%,HIGH,"$53,317.00",87.00%,91.00%,27.00%,34.00%,41.00%,50.00%
Austria,"8,940,000",19.00%,27.00%,91.00%,HIGH,"$55,686.00",71.00%,85.00%,26.00%,34.00%,40.00%,49.00%
Azerbaijan,"10,359,000",30.00%,12.00%,90.00%,UPPER MIDDLE,"$14,470.00",N/A,N/A,N/A,N/A,N/A,N/A
Bahamas,"410,000",27.00%,14.00%,75.00%,HIGH,"$29,065.00",81.00%,88.00%,30.00%,56.00%,44.00%,71.00%
Bahrain,"1,473,000",26.00%,7.00%,86.00%,HIGH,"$43,821.00",75.00%,87.00%,N/A,N/A,N/A,N/A
Bangladesh,"171,187,000",36.00%,9.00%,70.00%,LOWER MIDDLE,"$5,995.00",63.00%,69.00%,16.00%,40.00%,19.00%,46.00%
Barbados,"282,000",23.00%,23.00%,83.00%,HIGH,"$14,046.00",77.00%,87.00%,29.00%,55.00%,37.00%,63.00%
Belarus,"9,535,000",22.00%,25.00%,93.00%,UPPER MIDDLE,"$20,238.00",N/A,N/A,14.00%,14.00%,23.00%,25.00%
Belgium,"11,656,000",22.00%,26.00%,86.00%,HIGH,"$53,070.00",79.00%,88.00%,31.00%,41.00%,46.00%,57.00%
Belize,"406,000",37.00%,8.00%,65.00%,UPPER MIDDLE,"$6,166.00",76.00%,84.00%,N/A,N/A,N/A,N/A
Benin,"13,353,000",53.00%,5.00%,39.00%,LOW,"$3,505.00",71.00%,81.00%,14.00%,18.00%,22.00%,29.00%
Bhutan,"783,000",31.00%,9.00%,73.00%,LOWER MIDDLE,"$11,129.00",83.00%,85.00%,18.00%,30.00%,18.00%,37.00%
Bolivia (Plurinational State of),"12,225,000",41.00%,8.00%,73.00%,LOWER MIDDLE,"$8,283.00",82.00%,89.00%,N/A,N/A,N/A,N/A
Bosnia and Herzegovina,"3,234,000",20.00%,26.00%,94.00%,UPPER MIDDLE,"$15,598.00",N/A,N/A,23.00%,28.00%,35.00%,43.00%
Botswana,"2,631,000",42.00%,6.00%,46.00%,UPPER MIDDLE,"$15,471.00",86.00%,89.00%,17.00%,26.00%,27.00%,41.00%
Brazil,"215,314,000",28.00%,15.00%,75.00%,UPPER MIDDLE,"$14,834.00",78.00%,89.00%,40.00%,53.00%,56.00%,69.00%
Brunei Darussalam,"450,000",29.00%,10.00%,85.00%,HIGH,"$65,607.00",81.00%,94.00%,21.00%,34.00%,33.00%,49.00%
Bulgaria,"6,782,000",19.00%,29.00%,95.00%,UPPER MIDDLE,"$24,564.00",67.00%,80.00%,36.00%,41.00%,51.00%,58.00%
Burkina Faso,"22,674,000",55.00%,4.00%,35.00%,LOW,"$2,274.00",N/A,N/A,18.00%,23.00%,20.00%,27.00%
Burundi,"12,890,000",57.00%,4.00%,37.00%,LOW,$771.00,N/A,N/A,N/A,N/A,N/A,N/A
Cabo Verde,"594,000",35.00%,9.00%,70.00%,LOWER MIDDLE,"$6,376.00",N/A,N/A,14.00%,25.00%,22.00%,39.00%
Cambodia,"16,768,000",38.00%,10.00%,68.00%,LOWER MIDDLE,"$4,423.00",90.00%,93.00%,10.00%,11.00%,16.00%,19.00%
Cameroon,"27,915,000",53.00%,4.00%,38.00%,LOWER MIDDLE,"$3,867.00",N/A,N/A,22.00%,35.00%,34.00%,51.00%
Canada,"38,455,000",21.00%,26.00%,90.00%,HIGH,"$46,572.00",71.00%,82.00%,26.00%,31.00%,39.00%,47.00%
Central African Republic,"5,580,000",60.00%,4.00%,32.00%,LOW,$989.00,N/A,N/A,13.00%,16.00%,21.00%,26.00%
Chad,"17,724,000",58.00%,3.00%,27.00%,LOW,"$1,592.00",N/A,N/A,20.00%,27.00%,25.00%,33.00%
Chile,"19,604,000",24.00%,18.00%,85.00%,HIGH,"$25,089.00",84.00%,91.00%,24.00%,29.00%,30.00%,36.00%
China,"1,425,888,000",23.00%,19.00%,90.00%,UPPER MIDDLE,"$17,189.00",80.00%,89.00%,16.00%,12.00%,26.00%,21.00%
Colombia,"51,875,000",29.00%,14.00%,76.00%,UPPER MIDDLE,"$14,868.00",81.00%,87.00%,39.00%,49.00%,43.00%,54.00%
Comoros,"837,000",48.00%,7.00%,45.00%,LOWER MIDDLE,"$3,148.00",N/A,N/A,10.00%,19.00%,11.00%,24.00%
Congo,"5,971,000",51.00%,5.00%,39.00%,LOWER MIDDLE,"$3,689.00",N/A,N/A,25.00%,31.00%,37.00%,46.00%
Cook Islands,"17,100",31.00%,17.00%,N/A,UPPER MIDDLE,N/A,78.00%,88.00%,10.00%,27.00%,17.00%,42.00%
Costa Rica,"5,181,000",27.00%,16.00%,82.00%,UPPER MIDDLE,"$22,244.00",76.00%,88.00%,38.00%,54.00%,53.00%,70.00%
Cote D'Ivoire,"28,161,000",53.00%,4.00%,36.00%,LOWER MIDDLE,"$5,465.00",N/A,N/A,29.00%,37.00%,34.00%,44.00%
Croatia,"4,031,000",19.00%,30.00%,92.00%,HIGH,"$28,780.00",70.00%,84.00%,26.00%,36.00%,40.00%,52.00%
Cuba,"11,213,000",21.00%,22.00%,83.00%,UPPER MIDDLE,N/A,N/A,N/A,31.00%,43.00%,46.00%,59.00%
Cyprus,"1,252,000",21.00%,20.00%,90.00%,HIGH,"$39,593.00",N/A,N/A,38.00%,51.00%,54.00%,66.00%
Czechia,"10,494,000",21.00%,26.00%,89.00%,HIGH,"$41,608.00",73.00%,82.00%,28.00%,34.00%,42.00%,50.00%
Democratic People's Rebulic of Korea,"26,070,000",25.00%,17.00%,80.00%,LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Democratic Republic of the Congo,"99,011,000",57.00%,5.00%,34.00%,LOW,"$1,142.00",N/A,N/A,21.00%,27.00%,33.00%,40.00%
Denmark,"5,883,000",22.00%,26.00%,90.00%,HIGH,"$60,230.00",82.00%,87.00%,26.00%,31.00%,39.00%,46.00%
Djibouti,"1,121,000",41.00%,7.00%,52.00%,LOWER MIDDLE,"$5,533.00",81.00%,89.00%,N/A,N/A,N/A,N/A
Dominica,"72,800",27.00%,14.00%,N/A,UPPER MIDDLE,"$10,818.00",82.00%,86.00%,13.00%,30.00%,23.00%,46.00%
Dominican Republic,"11,229,000",36.00%,11.00%,72.00%,UPPER MIDDLE,"$17,934.00",N/A,N/A,34.00%,43.00%,50.00%,60.00%
Ecuador,"18,001,000",34.00%,11.00%,76.00%,UPPER MIDDLE,"$10,890.00",83.00%,90.00%,25.00%,30.00%,31.00%,38.00%
Egypt,"110,991,000",42.00%,8.00%,86.00%,LOWER MIDDLE,"$12,606.00",82.00%,93.00%,23.00%,39.00%,35.00%,55.00%
El Salvador,"6,337,000",34.00%,12.00%,65.00%,LOWER MIDDLE,"$8,420.00",83.00%,90.00%,N/A,N/A,N/A,N/A
Equatorial Guinea,"1,675,000",47.00%,5.00%,33.00%,UPPER MIDDLE,"$18,158.00",N/A,N/A,N/A,N/A,N/A,N/A
Eritrea,"3,685,000",51.00%,6.00%,49.00%,LOW,N/A,N/A,N/A,14.00%,31.00%,14.00%,35.00%
Estonia,"1,327,000",22.00%,27.00%,92.00%,HIGH,"$37,645.00",81.00%,88.00%,29.00%,35.00%,43.00%,50.00%
Eswatini,"1,202,000",45.00%,6.00%,46.00%,LOWER MIDDLE,"$8,865.00",N/A,N/A,24.00%,32.00%,27.00%,38.00%
Ethiopia,"123,380,000",51.00%,5.00%,43.00%,LOW,"$2,423.00",N/A,N/A,11.00%,18.00%,12.00%,20.00%
Fiji,"930,000",37.00%,10.00%,85.00%,UPPER MIDDLE,"$12,158.00",81.00%,86.00%,11.00%,24.00%,18.00%,38.00%
Finland,"5,541,000",21.00%,30.00%,93.00%,HIGH,"$50,937.00",69.00%,82.00%,17.00%,16.00%,28.00%,27.00%
France,"64,627,000",23.00%,28.00%,87.00%,HIGH,"$46,991.00",82.00%,92.00%,24.00%,34.00%,38.00%,50.00%
Gabon,"2,389,000",46.00%,6.00%,45.00%,UPPER MIDDLE,"$15,105.00",N/A,N/A,18.00%,33.00%,28.00%,49.00%
Gambia,"2,706,000",54.00%,4.00%,37.00%,LOW,"$2,277.00",N/A,N/A,16.00%,26.00%,25.00%,40.00%
Georgia,"3,745,000",27.00%,21.00%,93.00%,UPPER MIDDLE,"$14,731.00",N/A,N/A,17.00%,19.00%,28.00%,30.00%
Germany,"83,370,000",19.00%,30.00%,91.00%,HIGH,"$54,845.00",80.00%,88.00%,40.00%,44.00%,56.00%,61.00%
Ghana,"33,476,000",47.00%,6.00%,45.00%,LOWER MIDDLE,"$5,750.00",87.00%,88.00%,19.00%,25.00%,22.00%,30.00%
Greece,"10,385,000",19.00%,29.00%,83.00%,HIGH,"$27,949.00",80.00%,89.00%,34.00%,41.00%,49.00%,57.00%
Grenada,"126,000",31.00%,15.00%,83.00%,UPPER MIDDLE,"$15,274.00",82.00%,87.00%,22.00%,35.00%,34.00%,51.00%
Guatemala,"17,844,000",43.00%,7.00%,62.00%,UPPER MIDDLE,"$8,853.00",85.00%,89.00%,37.00%,37.00%,52.00%,53.00%
Guinea,"13,860,000",52.00%,5.00%,33.00%,LOW,"$2,754.00",N/A,N/A,11.00%,18.00%,17.00%,30.00%
Guinea-Bissau,"2,106,000",51.00%,4.00%,33.00%,LOW,"$1,949.00",N/A,N/A,N/A,N/A,N/A,N/A
Guyana,"809,000",38.00%,10.00%,70.00%,UPPER MIDDLE,"$19,703.00",82.00%,86.00%,N/A,N/A,N/A,N/A
Haiti,"11,585,000",42.00%,7.00%,65.00%,LOW,"$3,095.00",N/A,N/A,N/A,N/A,N/A,N/A
Honduras,"10,433,000",40.00%,7.00%,71.00%,LOWER MIDDLE,"$5,420.00",80.00%,88.00%,N/A,N/A,N/A,N/A
Hungary,"9,968,000",20.00%,26.00%,94.00%,HIGH,"$33,274.00",74.00%,86.00%,33.00%,43.00%,48.00%,59.00%
Iceland,"373,000",25.00%,21.00%,89.00%,HIGH,"$53,617.00",75.00%,85.00%,N/A,N/A,N/A,N/A
India,"1,417,174,000",34.00%,10.00%,66.00%,LOWER MIDDLE,"$6,525.00",72.00%,76.00%,25.00%,44.00%,38.00%,60.00%
Indonesia,"275,502,000",33.00%,11.00%,76.00%,LOWER MIDDLE,"$12,072.00",85.00%,87.00%,24.00%,22.00%,36.00%,34.00%
Iran (Islamic Republic of),"88,551,000",30.00%,12.00%,81.00%,UPPER MIDDLE,"$15,791.00",N/A,N/A,23.00%,43.00%,35.00%,60.00%
Iraq,"44,497,000",48.00%,5.00%,67.00%,UPPER MIDDLE,"$9,954.00",80.00%,91.00%,40.00%,65.00%,55.00%,78.00%
Ireland,"5,024,000",26.00%,20.00%,90.00%,HIGH,"$93,350.00",64.00%,81.00%,28.00%,37.00%,43.00%,53.00%
Israel,"9,039,000",36.00%,16.00%,85.00%,HIGH,"$39,489.00",80.00%,90.00%,N/A,N/A,N/A,N/A
Italy,"59,038,000",17.00%,31.00%,91.00%,HIGH,"$41,988.00",86.00%,92.00%,36.00%,46.00%,52.00%,62.00%
Jamaica,"2,828,000",28.00%,12.00%,79.00%,UPPER MIDDLE,"$9,241.00",N/A,N/A,28.00%,37.00%,43.00%,53.00%
Japan,"123,952,000",16.00%,36.00%,85.00%,HIGH,"$42,100.00",N/A,N/A,34.00%,37.00%,49.00%,53.00%
Jordan,"11,286,000",42.00%,6.00%,80.00%,UPPER MIDDLE,"$10,354.00",81.00%,88.00%,10.00%,14.00%,18.00%,23.00%
Kazakhstan,"19,398,000",37.00%,13.00%,87.00%,UPPER MIDDLE,"$26,750.00",N/A,N/A,26.00%,29.00%,39.00%,43.00%
Kenya,"54,028,000",49.00%,5.00%,41.00%,LOWER MIDDLE,"$4,587.00",85.00%,89.00%,14.00%,17.00%,15.00%,19.00%
Kiribati,"132,000",45.00%,6.00%,73.00%,LOWER MIDDLE,"$2,172.00",79.00%,86.00%,35.00%,46.00%,49.00%,62.00%
Kuwait,"4,269,000",26.00%,9.00%,79.00%,HIGH,"$47,303.00",79.00%,90.00%,61.00%,75.00%,76.00%,85.00%
Kyrgyzstan,"6,631,000",43.00%,8.00%,82.00%,LOWER MIDDLE,"$4,985.00",N/A,N/A,11.00%,17.00%,18.00%,27.00%
Lao People's Democratic Republic,"7,530,000",40.00%,7.00%,65.00%,LOWER MIDDLE,"$8,238.00",78.00%,91.00%,12.00%,21.00%,12.00%,23.00%
Latvia,"1,851,000",21.00%,29.00%,92.00%,HIGH,"$31,425.00",76.00%,84.00%,25.00%,33.00%,39.00%,48.00%
